location_name,latitude,longitude,category
Hitech City,17.4435,78.3772,IT Hub
Gachibowli,17.4401,78.3489,IT Hub
Madhapur,17.4483,78.3915,IT Hub
Jubilee Hills,17.4326,78.4071,Residential
Kukatpally,17.4948,78.3996,Residential
Banjara Hills,17.4126,78.4392,Commercial
Ameerpet,17.4375,78.4483,Commercial
Begumpet,17.4440,78.4667,Commercial
Secunderabad,17.4399,78.4983,Commercial
Charminar,17.3616,78.4747,Tourist
LB Nagar,17.3457,78.5522,Residential
Miyapur,17.4969,78.3562,Residential
Dilsukhnagar,17.3688,78.5247,Commercial
Uppal,17.4058,78.5591,Residential
Rajiv Gandhi International Airport,17.2403,78.4294,Airport
