trip_id,trip_date,trip_day,is_weekend,trip_hour,weather,pickup_city,pickup_location,drop_location,cab_type,distance_km,travel_time_min,fare,fuel_cost,profit,payment_method,driver_id,driver_rating,customer_rating,surge_multiplier
1,2025-10-18,Saturday,1,7,Rainy,Hyderabad,LB Nagar,Secunderabad,Mini,11.9,28,171.36,47.6,123.76,Credit Card,1403,4.3,3.1,1.2
2,2025-08-27,Wednesday,0,15,Rainy,Hyderabad,Secunderabad,Kukatpally,Auto,12.12,29,145.44,36.36,109.08,Wallet,1168,4.3,4.6,1.2
3,2026-04-11,Saturday,1,11,Rainy,Hyderabad,Banjara Hills,Ameerpet,SUV,2.92,7,70.08,20.44,49.64,Wallet,1064,4.6,4.7,1.2
4,2025-12-04,Thursday,0,14,Sunny,Hyderabad,Secunderabad,Banjara Hills,Auto,6.97,16,69.7,20.91,48.79,Credit Card,1374,3.8,4.6,1.0
5,2025-10-28,Tuesday,0,8,Cloudy,Hyderabad,Madhapur,LB Nagar,SUV,20.51,49,615.3,143.57,471.73,Cash,1227,4.2,3.4,1.5
6,2025-08-05,Tuesday,0,20,Sunny,Hyderabad,Rajiv Gandhi International Airport,Kukatpally,Auto,28.34,68,425.1,85.02,340.08,UPI,1390,4.9,3.1,1.5
7,2025-12-25,Thursday,0,12,Rainy,Hyderabad,Jubilee Hills,Dilsukhnagar,Sedan,14.35,34,275.52,71.75,203.77,Cash,1163,5.0,4.4,1.2
8,2026-02-23,Monday,0,20,Cloudy,Hyderabad,Charminar,Kukatpally,Mini,16.76,40,301.68,67.04,234.64,Credit Card,1101,4.7,3.9,1.5
9,2026-03-10,Tuesday,0,21,Cloudy,Hyderabad,Dilsukhnagar,Rajiv Gandhi International Airport,SUV,17.46,41,523.8,122.22,401.58,Wallet,1097,4.5,3.9,1.5
10,2026-02-18,Wednesday,0,21,Rainy,Hyderabad,Ameerpet,Madhapur,Auto,6.15,14,104.55,18.45,86.1,Cash,1481,4.2,3.9,1.7
11,2025-10-12,Sunday,1,7,Sunny,Hyderabad,Jubilee Hills,Kukatpally,Bike,6.93,16,55.44,13.86,41.58,Wallet,1054,4.3,3.9,1.0
12,2026-01-25,Sunday,1,12,Sunny,Hyderabad,Uppal,Kukatpally,Auto,19.6,47,196.0,58.8,137.2,UPI,1270,4.5,4.9,1.0
13,2025-09-14,Sunday,1,18,Sunny,Hyderabad,Charminar,Kukatpally,Mini,16.76,40,301.68,67.04,234.64,UPI,1004,4.6,4.3,1.5
14,2025-12-30,Tuesday,0,10,Rainy,Hyderabad,Secunderabad,Begumpet,SUV,3.39,8,115.26,23.73,91.53,UPI,1272,4.5,4.1,1.7
15,2026-06-06,Saturday,1,19,Rainy,Hyderabad,Madhapur,Ameerpet,Mini,6.15,14,125.46,24.6,100.86,Cash,1264,4.3,3.2,1.7
16,2026-05-27,Wednesday,0,12,Sunny,Hyderabad,LB Nagar,Rajiv Gandhi International Airport,SUV,17.51,42,350.2,122.57,227.63,Debit Card,1493,4.4,3.0,1.0
17,2025-11-10,Monday,0,14,Cloudy,Hyderabad,Ameerpet,Charminar,Auto,8.86,21,88.6,26.58,62.02,Credit Card,1072,4.8,3.3,1.0
